movie_id,schedule_time,hall
tt0047478,2022-08-09 20:00,movieplex_hall_01
tt0046268,2022-08-09 20:00,movieplex_hall_02
tt0073195,2022-08-09 20:00,movieplex_hall_03
tt0056058,2022-08-09 20:00,movieplex_hall_04
tt1375666,2022-08-09 20:00,cineplexx_baneasa_hall_01
tt2267998,2022-08-09 20:00,cineplexx_baneasa_hall_02
tt0086190,2022-08-09 20:00,cineplexx_baneasa_hall_03
tt0070735,2022-08-09 20:00,cineplexx_baneasa_hall_04
tt1979320,2022-08-09 20:00,cineplexx_baneasa_hall_05
tt0056058,2022-08-09 20:00,cineplexx_baneasa_hall_06
tt0040897,2022-08-09 20:00,first_class_–_băneasa_hall_01
tt3315342,2022-08-09 20:00,first_class_–_băneasa_hall_02
tt1305806,2022-08-09 20:00,first_class_–_băneasa_hall_03
tt6710474,2022-08-09 20:00,cineplexx_titan_hall_01
tt1853728,2022-08-09 20:00,cineplexx_titan_hall_02
tt0119698,2022-08-09 20:00,cineplexx_titan_hall_03
tt0167261,2022-08-09 20:00,happy_hall_01
tt0040897,2022-08-09 20:00,happy_hall_02
tt0071562,2022-08-09 20:00,hollywood_multiplex_hall_01
tt0053125,2022-08-09 20:00,city_cotroceni_hall_01
tt0110357,2022-08-09 20:00,city_cotroceni_hall_02
tt0042876,2022-08-09 20:00,city_cotroceni_hall_03
tt0050825,2022-08-09 20:00,city_cotroceni_hall_04
tt4633694,2022-08-09 20:00,city_cotroceni_hall_05
tt0050212,2022-08-09 20:00,city_sun_plaza_hall_01
tt0096283,2022-08-09 20:00,city_sun_plaza_hall_02
tt0372784,2022-08-09 20:00,city_sun_plaza_hall_03
tt0050986,2022-08-09 20:00,city_sun_plaza_hall_04
tt2096673,2022-08-09 20:00,city_mega_mall_hall_01
tt0053291,2022-08-09 20:00,city_mega_mall_hall_02
tt0910970,2022-08-09 20:00,city_mega_mall_hall_03
tt2582802,2022-08-09 20:00,city_parklake_hall_01
tt1832382,2022-08-09 20:00,city_parklake_hall_02
tt0068646,2022-08-09 20:00,city_parklake_hall_03
tt0116282,2022-08-09 20:00,city_parklake_hall_04
tt0053604,2022-08-09 20:00,city_parklake_hall_05
tt10872600,2022-08-09 20:00,city_parklake_hall_06
tt2096673,2022-08-09 20:00,teca_eforie_hall_01
tt6751668,2022-08-09 20:00,teca_eforie_hall_02
tt0107290,2022-08-09 20:00,teca_eforie_hall_03
tt0047396,2022-08-09 20:00,teca_eforie_hall_04
tt6710474,2022-08-09 20:00,teca_eforie_hall_05
tt0047396,2022-08-09 20:00,teca_eforie_hall_06
tt0119217,2022-08-09 20:00,teca_union_hall_01
tt0083987,2022-08-09 20:00,teca_union_hall_02
tt8503618,2022-08-09 20:00,teca_union_hall_03
tt0066921,2022-08-09 20:00,teca_union_hall_04
tt0120586,2022-08-09 20:00,teca_union_hall_05
tt0091251,2022-08-09 20:00,teca_union_hall_06
tt0353969,2022-08-09 20:00,elvire_popesco_hall_01
tt0116282,2022-08-09 20:00,europa_hall_01
tt0057565,2022-08-09 20:00,europa_hall_02
tt0382932,2022-08-09 20:00,europa_hall_03
tt0040522,2022-08-09 20:00,europa_hall_04
tt0053198,2022-08-09 20:00,muzeul_țăranului_hall_01
tt0082971,2022-08-09 20:00,muzeul_țăranului_hall_02
tt0363163,2022-08-09 20:00,muzeul_țăranului_hall_03
tt4633694,2022-08-09 20:00,muzeul_țăranului_hall_04
tt0050825,2022-08-09 20:00,muzeul_țăranului_hall_05
tt0110357,2022-08-09 20:00,muzeul_țăranului_hall_06
tt0056172,2022-08-09 20:00,inspire_hall_01
tt0317248,2022-08-09 20:00,inspire_hall_02
tt0032553,2022-08-09 20:00,inspire_hall_03
tt1049413,2022-08-09 20:00,inspire_hall_04
tt0017136,2022-08-09 20:00,happy_hall_01
tt0103064,2022-08-09 20:00,happy_hall_02
tt0096283,2022-08-09 20:00,happy_hall_03
tt0089881,2022-08-09 20:00,happy_hall_04
tt0081398,2022-08-09 20:00,happy_hall_05
tt1028532,2022-08-09 20:00,city_atrium_hall_01
tt0405094,2022-08-09 20:00,city_atrium_hall_02
tt0052357,2022-08-09 20:00,city_atrium_hall_03
tt2119532,2022-08-09 20:00,city_hall_01
tt5027774,2022-08-09 20:00,city_hall_02
tt0047396,2022-08-09 20:00,city_hall_03
tt0070047,2022-08-09 20:00,city_hall_04
tt0113277,2022-08-09 20:00,city_hall_05
tt0208092,2022-08-09 20:00,city_hall_06
tt0816692,2022-08-09 20:00,happy_hall_01
tt0041959,2022-08-09 20:00,city_hall_01
tt1130884,2022-08-09 20:00,city_hall_02
tt0482571,2022-08-09 20:00,city_hall_03
tt0266697,2022-08-09 20:00,city_hall_04
tt2278388,2022-08-09 20:00,city_hall_05
tt0114814,2022-08-09 20:00,city_hall_06
tt0101414,2022-08-09 20:00,happy_hall_01
tt0118849,2022-08-09 20:00,happy_hall_02
tt1950186,2022-08-09 20:00,happy_hall_03
tt0361748,2022-08-09 20:00,happy_hall_04
tt0268978,2022-08-09 20:00,happy_hall_05
tt0088247,2022-08-09 20:00,happy_hall_06
tt0021749,2022-08-09 20:00,dacia_hall_01
tt0053198,2022-08-09 20:00,dacia_hall_02
tt0109830,2022-08-09 20:00,dacia_hall_03
tt0084787,2022-08-09 20:00,dacia_hall_04
tt0054215,2022-08-09 20:00,happy_hall_01
tt0095016,2022-08-09 20:00,happy_hall_02
tt8579674,2022-08-09 20:00,happy_hall_03
tt0071411,2022-08-09 20:00,happy_hall_04
tt0120737,2022-08-09 20:00,city_hall_01
tt0119217,2022-08-09 20:00,city_hall_02
tt1028532,2022-08-09 20:00,city_hall_03
tt1291584,2022-08-09 20:00,city_hall_04
tt0032553,2022-08-09 20:00,city_hall_05
tt0457430,2022-08-09 20:00,city_hall_06
tt0118849,2022-08-09 20:00,one_hall_01
tt0086879,2022-08-09 20:00,one_hall_02
tt0119217,2022-08-09 20:00,one_hall_03
tt0033467,2022-08-09 20:00,one_hall_04
tt1255953,2022-08-09 20:00,city_brașov_afi_hall_01
tt0017136,2022-08-09 20:00,happy_hall_01
tt0046438,2022-08-09 20:00,happy_hall_02
tt1291584,2022-08-09 20:00,happy_hall_03
tt0021749,2022-08-09 20:00,city_hall_01
tt0042876,2022-08-09 20:00,city_hall_02
tt0119488,2022-08-09 20:00,city_hall_03
tt0052357,2022-08-09 20:00,city_hall_04
tt0986264,2022-08-09 20:00,cityplex_victoria_hall_01
tt0172495,2022-08-09 20:00,cityplex_victoria_hall_02
tt1049413,2022-08-09 20:00,cityplex_victoria_hall_03
tt0082971,2022-08-09 20:00,cityplex_victoria_hall_04
tt0031679,2022-08-09 20:00,cityplex_victoria_hall_05
tt0015864,2022-08-09 20:00,cityplex_victoria_hall_06
tt0036775,2022-08-09 20:00,3d/2d_hall_01
tt1130884,2022-08-09 20:00,3d/2d_hall_02
tt0086879,2022-08-09 20:00,luna_hall_01
tt0071853,2022-08-09 20:00,luna_hall_02
tt0112573,2022-08-09 20:00,luna_hall_03
tt0036775,2022-08-09 20:00,patria_-_loteanu_hall_01
