name,poster,description,year,director,imdb_link,imdb_id,imdb_rating,duration
Închisoarea îngerilor,"https://m.media-amazon.com/images/M/MV5BMDFkYTc0MGEtZmNhMC00ZDIzLWFmNTEtODM1ZmRlYWMwMWFmXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UY67_CR0,0,45,67_AL_.jpg",,1994,Frank Darabont,https://imdb.com/title/tt0111161,tt0111161,9.2,120
Nașul,"https://m.media-amazon.com/images/M/MV5BM2MyNjYxNmUtYTAwNi00MTYxLWJmNWYtYzZlODY3ZTk3OTFlXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UY67_CR1,0,45,67_AL_.jpg",,1972,Francis Ford Coppola,https://imdb.com/title/tt0068646,tt0068646,9.2,120
Cavalerul negru,"https://m.media-amazon.com/images/M/MV5BMTMxNTMwODM0NF5BMl5BanBnXkFtZTcwODAyMTk2Mw@@._V1_UY67_CR0,0,45,67_AL_.jpg",,2008,Christopher Nolan,https://imdb.com/title/tt0468569,tt0468569,9.0,120
Nașul: Partea a II-a,"https://m.media-amazon.com/images/M/MV5BMWMwMGQzZTItY2JlNC00OWZiLWIyMDctNDk2ZDQ2YjRjMWQ0XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UY67_CR1,0,45,67_AL_.jpg",,1974,Francis Ford Coppola,https://imdb.com/title/tt0071562,tt0071562,9.0,120
12 Oameni mânioşi,"https://m.media-amazon.com/images/M/MV5BMWU4N2FjNzYtNTVkNC00NzQ0LTg0MjAtYTJlMjFhNGUxZDFmXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_UX45_CR0,0,45,67_AL_.jpg",,1957,Sidney Lumet,https://imdb.com/title/tt0050083,tt0050083,8.9,120
Lista lui Schindler,"https://m.media-amazon.com/images/M/MV5BNDE4OTMxMTctNmRhYy00NWE2LTg3YzItYTk3M2UwOTU5Njg4XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX45_CR0,0,45,67_AL_.jpg",,1993,Steven Spielberg,https://imdb.com/title/tt0108052,tt0108052,8.9,120
Stăpânul inelelor: Întoarcerea regelui,"https://m.media-amazon.com/images/M/MV5BNzA5ZDNlZWMtM2NhNS00NDJjLTk4NDItYTRmY2EwMWZlMTY3XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UY67_CR0,0,45,67_AL_.jpg",,2003,Peter Jackson,https://imdb.com/title/tt0167260,tt0167260,8.9,120
Pulp Fiction,"https://m.media-amazon.com/images/M/MV5BNGNhMDIzZTUtNTBlZi00MTRlLWFjM2ItYzViMjE3YzI5MjljXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UY67_CR0,0,45,67_AL_.jpg",,1994,Quentin Tarantino,https://imdb.com/title/tt0110912,tt0110912,8.9,120
Stăpânul inelelor: Frăția inelului,"https://m.media-amazon.com/images/M/MV5BN2EyZjM3NzUtNWUzMi00MTgxLWI0NTctMzY4M2VlOTdjZWRiXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UY67_CR0,0,45,67_AL_.jpg",,2001,Peter Jackson,https://imdb.com/title/tt0120737,tt0120737,8.8,120
"Cel bun, cel rău, cel urât","https://m.media-amazon.com/images/M/MV5BNjJlYmNkZGItM2NhYy00MjlmLTk5NmQtNjg1NmM2ODU4OTMwXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_UX45_CR0,0,45,67_AL_.jpg",,1966,Sergio Leone,https://imdb.com/title/tt0060196,tt0060196,8.8,120
