name,halls
Bucuresti,Movieplex Cinema;Cinema Cineplexx Baneasa;First Class Cinema – Băneasa;Cinema Cineplexx Titan;Happy Cinema;CINEMAX Veranda;Cinema Hollywood Multiplex;Cinema City Cotroceni;Cinema City Cotroceni VIP;Cinema City Sun Plaza;Cinema City Mega Mall;Cinema City ParkLake;Cinema City ParkLake VIP;Cinema T IMAX®;Cinemateca Eforie;Cinemateca Union;Cinema Elvire Popesco;Cinema Europa;Cinema Muzeul Țăranului
Alba Iulia,Inspire Cinema
Alexandria,Happy Cinema
Arad,Cinema City Atrium
Bacau,Cinema City;Happy Cinema
Baia Mare,Cinema City
Bistrita,Happy Cinema;Cinema Dacia
Botosani,Happy Cinema
Braila,Cinema City
Brasov,Cinema One;Cinema City Brașov AFI
Buzau,Happy Cinema;Cinema City
Bârlad,Cinema Cityplex Victoria
Calarasi,Cinema 3D/2D
Caransebes,Cinema Luna
Chisinau,Cinema Patria - Loteanu;Cinema Cineplex
Cluj,Cinema City Iulius;Cinema City Polus;Cinema Florin Piersic;Cinema Victoria;Cinema Arta
Constanta,Cinema City VIVO!;Cinema CMEPT Jean Constantin;City Park Cinema City
Craiova,Cinema Patria;Inspire Cinema Mercur
Deva,Cinema City
Dorohoi,Cinema Melodia
Drobeta Turnu-Severin,Cinema City
Focsani,Happy Cinema
Galati,Cinema City;Cinema Prof. Ioan Manole
Iasi,Cinema City;Cinema Ateneu
Lugoj,Cinema Bela Lugosi
Oradea,Cinema Palace
Oravita,Cinema 3D
Otelu Rosu,Cinema 3D
Petrosani,Cinema Serban Ionescu
Piatra Neamt,Cinema Mon Amour;Cinema City
Pitesti,Cinema Trivale;Cinema City
Ploiesti,Cinema City Shopping City;Cinema City Afi Palace
Ramnicu Valcea,Cinema Geo Saizescu;Cinema City Shopping City
Resita,Cinema Dacia
Satu Mare,Cinema Cineplexx;Cinema One Laserplex
Sf. Gheorghe,Cinema Arta by Cityplex
Sibiu,Cinema CineGold;Cinema Cineplexx;Cinema Arta 3D;Cinema Ion Besoiu
Sinaia,Cinema Carpați
Suceava,Cinema Modern;Cinema City
Targoviste,Cinema Independența
Targu Jiu,Cinema Sergiu Nicolaescu;Cinema City
Targu Mures,Cinema City;Cinema Cineplexx
Timisoara,Cinema City Iulius Mall;Cinema T IMAX®;Cinema City Shopping City
Toplita,Cinema Călimani
Vaslui,Happy Cinema
Vulcan,Cinema Luceafarul
